metric,candidate_count,minimum,q25,median,mean,q75,maximum,interpretation
NetSolP U,102,-0.022604139999999995,-0.013386792499999994,-0.008090005000000011,-0.008075833039215672,-0.003804434999999981,0.009845820000000005,predictor_output_residual_not_physical_epistasis
NetSolP S,102,-0.045259669999999974,-0.01946238499999997,-0.008857550000000047,-0.009073623529411804,0.002110112500000011,0.026466049999999908,predictor_output_residual_not_physical_epistasis
NanoMelt predicted Tm,102,-0.730000000000004,-0.12749999999998352,-0.04999999999999005,-0.06431372549018607,0.020000000000010232,0.20999999999999375,predictor_output_residual_not_physical_epistasis
