outer_scheme,tp,tn,fp,fn,mcc,balanced_accuracy,sensitivity,specificity,n,positive_count,prevalence,roc_auc,pr_auc_average_precision,score_threshold_median,score_threshold_q1,score_threshold_q3,score_threshold_min,score_threshold_max
leave_one_out,11,8,5,3,0.4078785175942527,0.7005494505494505,0.7857142857142857,0.6153846153846154,27,14,0.5185185185185185,0.5714285714285714,0.5540884934596114,66.95,66.95,67.005,66.95,67.005
leave_one_cluster_out,11,8,5,3,0.4078785175942527,0.7005494505494505,0.7857142857142857,0.6153846153846154,27,14,0.5185185185185185,0.5714285714285714,0.5540884934596114,66.95,66.95,67.005,66.95,67.005
